name,GPA,Activities,Income,StudyHours,TestScore,Distance,Internet,FinalResult
Alice,3.5,2,50000,15,78,10,Yes,Pass
ben,3.8,3,60000,20,85,5,Yes,Pass
chloe,2.9,1,30000,8,60,25,No,Fail
david,4,4,75000,25,92,2,Yes,Pass
eva,3,2,40000,10,70,15,No,Pass
farhan,2.5,0,25000,5,50,30,No,Fail
grace,3.2,1,45000,12,76,12,Yes,Pass
hassan,3.7,3,65000,22,88,8,Yes,Pass
Ivy,2.7,1,35000,7,65,20,No,Fail
jake,3.6,2,58000,18,80,6,Yes,Pass
kriti,3.1,2,50000,14,74,11,Yes,Pass
leo,2.8,1,32000,6,58,18,No,Fail
mira,3.3,2,52000,16,79,9,Yes,Pass
nina,2.6,0,28000,4,45,28,No,Fail
omar,3.9,4,70000,24,90,3,Yes,Pass
